network,station,location,channel,component,distance,azimuth,longitude,latitude
BK,QRDG,00,BH,ZRT,80.9880135411667,335.28593699987493,-122.14485,38.48086
BK,RUSS,00,BH,ZRT,81.16124740855284,353.17508665767576,-121.86743,38.54465
BK,CVS,00,BH,ZRT,84.88180304893596,313.73273883093555,-122.458397,38.345261
BK,OAKV,00,BH,ZRT,88.89070589802229,320.02348746219445,-122.41085,38.43057
BK,MCCM,00,BH,ZRT,105.12003646085404,290.48434107622126,-122.88018,38.144779
BK,FARB,00,BH,ZRT,110.46457760945522,263.40504058799945,-123.001099,37.697819
BK,WELL,00,BH,ZRT,113.7138852374818,52.45570912065654,-120.7241,38.43847
BK,SAO,00,BH,ZRT,120.22611546154464,166.70750623923573,-121.44722,36.76403
BK,CMB,00,BH,ZRT,122.83336587789994,78.33203494966072,-120.386513,38.03455
BK,MNRC,00,BH,ZRT,132.0646148096844,333.2086156307425,-122.44277,38.87874
BK,SCZ,00,BH,ZRT,139.06751629525726,166.84084867621905,-121.403,36.598
BK,BUCR,00,BH,ZRT,142.56434379432665,96.00731316334918,-120.1496,37.6733
